order_date,product_id,product_name,product_category,customer_name,customer_phone_number,no_of_products_buy,product_purchase_price,product_sale_price,profit_margin,loss_margin,year,region,country,state,city
3/29/2018,1,"Pasta - Bauletti, Chicken White",Grocery,Stern Haysman,728-800-0967,38,275.53,585.72,112.5793924436540485609552499,-112.5793924436540485609552499,2018,North America,Peru,,Checacupe
12/20/2017,2,Soup V8 Roasted Red Pepper,Grocery,Halie Pretsel,798-267-4677,15,824.08,761.53,-7.5902824968449665081060091,7.5902824968449665081060091,2022,North America,Russia,,Rovnoye
11/28/2020,3,Sherry - Dry,Grocery,Channa Barbour,988-916-7154,41,614.4,710.28,15.60546875,-15.60546875,2018,Africa,Indonesia,,Lohong
10/25/2021,4,Pork - Caul Fat,Grocery,Leeland Billin,356-317-5247,27,877.89,855.84,-2.5117041998428049072207224,2.5117041998428049072207224,2017,Africa,Indonesia,,Madette
12/19/2017,5,Anchovy Fillets,Furniture,Ingra Dongate,584-404-3984,14,886.59,439.02,-50.4821845497918992995634961,50.4821845497918992995634961,2023,Europe,Thailand,,Wat Sing
6/17/2023,6,Cheese - Pont Couvert,cosmetics,Ronnie Lawless,450-226-3835,63,67.59,469.31,594.3482763722444148542683829,-594.3482763722444148542683829,2022,Africa,Japan,,Izumi
8/26/2016,7,Coriander - Ground,Clothing,Simonne Sperwell,610-550-8998,95,155.68,300.34,92.9213771839671120246659816,-92.9213771839671120246659816,2020,North America,China,,Banyue
4/18/2024,8,Grapes - Red,Clothing,Kristy Duker,717-582-1904,57,704.31,396.55,-43.6966676605472022262923997,43.6966676605472022262923997,2014,Europe,Greece,,Stamáta
4/15/2022,9,"Chilli Paste, Hot Sambal Oelek",Electronics,Peterus Birchner,925-498-7538,18,779.37,656.51,-15.7640145245518816479977418,15.7640145245518816479977418,2018,Europe,China,,Furong
3/12/2023,10,Wine - Puligny Montrachet A.,Furniture,Charisse Waistell,357-396-7917,1,536.88,106.71,-80.12405006705409029950827,80.12405006705409029950827,2019,Europe,Russia,,Korenëvo
3/12/2015,11,"Salmon - Smoked, Sliced",Furniture,Brietta Rosling,536-157-0882,62,701.03,760.82,8.5288789352809437541902629,-8.5288789352809437541902629,2023,Africa,Ukraine,,Mospyne
9/4/2021,12,Foam Dinner Plate,Electronics,Heloise O'Hagirtie,520-315-1835,7,639.92,902.25,40.9941867733466683335416927,-40.9941867733466683335416927,2014,North America,Albania,,Skënderbegas
2/5/2022,13,"Pasta - Gnocchi, Potato",cosmetics,Shannon Goricke,509-619-5222,77,513.21,711.56,38.648896163363925098887395,-38.648896163363925098887395,2020,Asia,Poland,,Trzcianka
10/13/2017,14,Bag - Clear 7 Lb,Electronics,Dion Congreave,371-948-5397,60,833.53,358.98,-56.9325639149160798051659808,56.9325639149160798051659808,2021,Europe,Brazil,,Francisco Morato
